Studio_ID,Studio
33,Magic Bus
107,Studio Fantasia
236,Office No. 8
72,asread
46,A.C.G.T
142,Ashi Productions
237,Adonero
43,J.C.Staff
232,Studio Signal
235,Zero-G Room
73,AIC
238,drop
239,An DerCen
27,Production I.G
42,GONZO
43,J.C.Staff
73,AIC
58,TRIGGER
52,Artland
45,Hoods Entertainment
71,Ajia-do
45,Hoods Entertainment
121,anima
139,Seven
43,J.C.Staff
103,Group TAC
44,Toei Animation
240,Build Up
76,Passione
142,Ashi Productions
33,Magic Bus
45,Hoods Entertainment
152,Asahi Production
64,Bridge
102,NAZ
33,Magic Bus
100,Double Eagle
42,GONZO
79,Project No.9
25,Studio DEEN
129,AIC PLUS+
241,Fall 2006
88,Triangle Staff
242,Kelmadick
43,J.C.Staff
43,J.C.Staff
170,St. Signpost
170,St. Signpost
243,Agent 21
208,DLE
244,Idea Factory
245,Animation 21
44,Toei Animation
25,Studio DEEN
246,Wao World
